p1,p2,g1_ratio,policy,avg_cost
0.1,0.9,94,random,944.9
0.1,0.9,94,coupcoll-nodupe,931.9
0.1,0.9,94,ratiocoll-nodupe,933.4
0.1,0.9,94,epsilon-exact-nodupe,943.2
0.1,0.9,95,random,951.9
0.1,0.9,95,coupcoll-nodupe,980.1666666666666
0.1,0.9,95,ratiocoll-nodupe,925.5
0.1,0.9,95,epsilon-exact-nodupe,929.4
0.1,0.9,96,random,945.8666666666667
0.1,0.9,96,coupcoll-nodupe,940.5
0.1,0.9,96,ratiocoll-nodupe,952.1666666666666
0.1,0.9,96,epsilon-exact-nodupe,937.2666666666667
0.1,0.9,97,random,968.0333333333333
0.1,0.9,97,coupcoll-nodupe,991.7333333333333
0.1,0.9,97,ratiocoll-nodupe,965.2333333333333
0.1,0.9,97,epsilon-exact-nodupe,984.0333333333333
0.1,0.9,98,random,976.3666666666667
0.1,0.9,98,coupcoll-nodupe,998.5666666666667
0.1,0.9,98,ratiocoll-nodupe,955.6333333333333
0.1,0.9,98,epsilon-exact-nodupe,994.6666666666666
0.1,0.9,99,random,1012.9333333333333
0.1,0.9,99,coupcoll-nodupe,1002.6666666666666
0.1,0.9,99,ratiocoll-nodupe,1006.1666666666666
0.1,0.9,99,epsilon-exact-nodupe,983.1
0.1,0.9,100,random,1008.6
0.1,0.9,100,coupcoll-nodupe,1028.3
0.1,0.9,100,ratiocoll-nodupe,998.8
0.1,0.9,100,epsilon-exact-nodupe,981.7333333333333
0.3,0.7,0,random,142.5
0.3,0.7,0,coupcoll-nodupe,142.06666666666666
0.3,0.7,0,ratiocoll-nodupe,142.36666666666667
0.3,0.7,0,epsilon-exact-nodupe,141.9
0.3,0.7,1,random,140.53333333333333
0.3,0.7,1,coupcoll-nodupe,143.8
0.3,0.7,1,ratiocoll-nodupe,139.3
0.3,0.7,1,epsilon-exact-nodupe,141.53333333333333
0.3,0.7,2,random,142.66666666666666
0.3,0.7,2,coupcoll-nodupe,141.6
0.3,0.7,2,ratiocoll-nodupe,139.6
0.3,0.7,2,epsilon-exact-nodupe,137.56666666666666
0.3,0.7,3,random,139.9
0.3,0.7,3,coupcoll-nodupe,139.93333333333334
0.3,0.7,3,ratiocoll-nodupe,137.06666666666666
0.3,0.7,3,epsilon-exact-nodupe,138.23333333333332
0.3,0.7,4,random,138.6
0.3,0.7,4,coupcoll-nodupe,136.53333333333333
