p1,p2,total_query,policy,avg_cost
70,70,64,random,71.13333333333334
70,70,64,coupcoll,66.73333333333333
70,70,64,ratiocoll,64.56666666666666
70,70,64,union-bound,91.42857142857143
70,70,64,asymptotic,70.38307648642292
70,70,64,epsilon-exact,66.0
70,70,128,random,136.2
70,70,128,coupcoll,131.76666666666668
70,70,128,ratiocoll,129.0
70,70,128,union-bound,182.85714285714286
70,70,128,asymptotic,137.0270333367641
70,70,128,epsilon-exact,130.23333333333332
70,70,256,random,273.0
70,70,256,coupcoll,261.2
70,70,256,ratiocoll,257.06666666666666
70,70,256,union-bound,365.7142857142857
70,70,256,asymptotic,268.7661529728459
70,70,256,epsilon-exact,257.0
70,70,512,random,530.6666666666666
70,70,512,coupcoll,519.7
70,70,512,ratiocoll,512.6
70,70,512,union-bound,731.4285714285714
70,70,512,asymptotic,530.0540666735282
70,70,512,epsilon-exact,512.8333333333334
70,70,1024,random,1047.9666666666667
70,70,1024,coupcoll,1036.9333333333334
70,70,1024,ratiocoll,1024.9333333333334
70,70,1024,union-bound,1462.857142857143
70,70,1024,asymptotic,1049.5323059456916
70,70,1024,epsilon-exact,1025.0
70,70,2048,random,2087.7
70,70,2048,coupcoll,2063.9333333333334
70,70,2048,ratiocoll,2048.733333333333
70,70,2048,union-bound,2925.714285714286
70,70,2048,asymptotic,2084.1081333470565
70,70,2048,epsilon-exact,2049.0
70,70,5096,random,5151.966666666666
70,70,5096,coupcoll,5119.9
70,70,5096,ratiocoll,5097.2
70,70,5096,union-bound,7280.0
70,70,5096,asymptotic,5152.958005231795
70,70,5096,epsilon-exact,5097.233333333334
70,90,32,random,38.36666666666667
70,90,32,coupcoll,33.7
70,90,32,ratiocoll,32.3
70,90,32,union-bound,40.0
70,90,32,asymptotic,36.549197197289025
70,90,32,epsilon-exact,32.96666666666667
70,90,64,random,71.63333333333334
70,90,64,coupcoll,66.26666666666667
70,90,64,ratiocoll,64.7
70,90,64,union-bound,80.0
70,90,64,asymptotic,70.4335363743158
70,90,64,epsilon-exact,64.86666666666666
70,90,128,random,139.96666666666667
70,90,128,coupcoll,133.3
70,90,128,ratiocoll,128.16666666666666
70,90,128,union-bound,160.0
70,90,128,asymptotic,137.09839439457807
70,90,128,epsilon-exact,129.03333333333333
70,90,256,random,285.73333333333335
70,90,256,coupcoll,266.8
70,90,256,ratiocoll,256.2
70,90,256,union-bound,320.0
70,90,256,asymptotic,268.86707274863164
70,90,256,epsilon-exact,256.9
70,90,512,random,562.0666666666667
70,90,512,coupcoll,533.9
70,90,512,ratiocoll,512.3333333333334
70,90,512,union-bound,640.0
70,90,512,asymptotic,530.1967887891561
70,90,512,epsilon-exact,512.9666666666667
70,90,1024,random,1109.3
70,90,1024,coupcoll,1065.4333333333334
70,90,1024,ratiocoll,1024.1666666666667
70,90,1024,union-bound,1280.0
70,90,1024,asymptotic,1049.7341454972632
70,90,1024,epsilon-exact,1024.3333333333333
